sent_compound,x,y
0.6369,-14916.98819,6714670.795503568
-0.9814,-14916.94093,6714670.801348568
0,-14916.98454,6714670.795929569
0,-14916.98396,6714670.7962535685
0,-14916.92176,6714670.8068625685
0,-14916.8954,6714670.810523569
0,-14917.03569,6714670.792714569
0,-14916.98875,6714670.814123568
0.4404,-14916.94162,6714670.813185568
0,-14916.90291,6714670.804739568
0,-14916.99494,6714670.812700569
0.9612,-14916.98078,6714670.792676568
0,-14916.93933,6714670.817084569
0.9612,-14916.98081,6714670.792449568
0,-14916.96315,6714670.816686569
0,-14916.94953,6714670.7975125685
0,-14916.9352,6714670.830388568
0,-14916.8846,6714670.822870568
0.9829,-14916.88372,6714670.819368568
0,-14916.94297,6714670.812353568
0,-14916.95113,6714670.812175568
0,-14916.98626,6714670.856975568
0.1779,-14916.9514,6714670.812270569
0.4215,-14916.88512,6714670.8614145685
0,-14916.93049,6714670.803917568
0,-14916.93804,6714670.8132845685
0,-14916.93875,6714670.813678568
0,-14916.90486,6714670.806878569
0,-14916.91113,6714670.813487568
0.4011,-14916.93725,6714670.829867569
0,-14916.93729,6714670.835370569
0,-14916.93728,6714670.835373568
0.5859,-14916.97753,6714670.8536485685
0,-14916.93224,6714670.831195569
0,-14916.93725,6714670.835414568
0,-14916.94418,6714670.826203568
0.6992,-14916.93998,6714670.827717569
0,-14916.9448,6714670.813662568
0.3716,-14916.94483,6714670.813606569
0,-14916.98602,6714670.793075568
0,-14916.98594,6714670.792978568
0,-14916.93225,6714670.831212568
0,-14916.93338,6714670.828373568
0,-14916.93225,6714670.831203569
0,-14916.92251,6714670.832573568
0,-14916.92817,6714670.829259568
0.6478,-14916.93454,6714670.810173568
0,-14916.94977,6714670.806934568
0,-14916.94972,6714670.806873568
0,-14916.93354,6714670.812090568
0,-14916.9459,6714670.8131375685
0,-14916.94193,6714670.810878568
0,-14916.93523,6714670.809967568
0,-14916.93493,6714670.810025568
0.4199,-14916.89046,6714670.818266569
0.2263,-14916.90393,6714670.814781568
0,-14916.94995,6714670.8078695685
0,-14916.95461,6714670.810875569
0,-14916.95246,6714670.850667568
0,-14916.93848,6714670.816281568
0,-14916.95659,6714670.781284568
0,-14916.94402,6714670.814505569
0,-14916.94642,6714670.809223568
