sent_compound,x,y
0.7713,-14916.91805,6714670.7958911685
0.8584,-14916.98562,6714670.796378569
0.7424,-14916.98158,6714670.795608568
0.2144,-14916.98209,6714670.795567368
0.2023,-14916.93609,6714670.816914768
0.9522,-14916.93195,6714670.794266769
0.7964,-14916.97208,6714670.785533369
0.9097,-14916.93707,6714670.817743869
0.8316,-14916.95753,6714670.815355469
0,-14916.93627,6714670.816696668
0.9507,-14916.93342,6714670.811104668
0.9617,-14916.86773,6714670.843890368
0.3387,-14916.86682,6714670.828330068
0.9829,-14916.9542,6714670.799067669
0.6697,-14916.93158,6714670.792014169
0.6486,-14916.96052,6714670.817773368
0.9403,-14916.93578,6714670.834913569
0.4939,-14916.93838,6714670.818746368
0.9239,-14916.93324,6714670.811016168
0.9475,-14916.98828,6714670.796557268
0.9898,-14916.93599,6714670.818142269
0.9359,-14916.94572,6714670.802229568
0.9743,-14916.96753,6714670.832575568
0.9879,-14916.96826,6714670.778370068
0.9774,-14916.95673,6714670.867903069
0,-14917.02265,6714670.835111368
0.4404,-14917.03261,6714670.880615768
0.9688,-14916.9007,6714670.869950169
0.6908,-14917.0242,6714670.809546968
0.8481,-14917.00626,6714670.768344169
0.9469,-14916.87044,6714670.868037568
0.9552,-14917.01322,6714670.768261168
0.8988,-14916.89787,6714670.775155468
0.9786,-14916.85695,6714670.857539568
-0.0387,-14917.02117,6714670.793764369
0.9746,-14917.03315,6714670.869469969
0.981,-14916.85769,6714670.832888569
-0.6532,-14917.00746,6714670.838395368
0,-14916.95863,6714670.804999868
0.9178,-14916.91633,6714670.870819168
0.8444,-14916.98561,6714670.841329468
0,-14916.88713,6714670.771884068
-0.8864,-14916.95312,6714670.843586069
0.9798,-14916.95669,6714670.841479668
0.8658,-14917.02094,6714670.824536668
0.8519,-14916.89837,6714670.800980968
-0.6734,-14916.94273,6714670.808868568
0.7003,-14916.88391,6714670.775179768
0.9709,-14916.93437,6714670.814786068
-0.779,-14917.00206,6714670.808985769
0.9509,-14916.97117,6714670.821298068
0.9517,-14917.03495,6714670.790092568
-0.7269,-14916.95425,6714670.821793368
0.7897,-14916.95878,6714670.804644168
0.4667,-14916.92443,6714670.805749669
0.9169,-14917.01774,6714670.800803368
0,-14916.91649,6714670.863840968
0.9658,-14917.00115,6714670.866190569
0.1785,-14916.97717,6714670.815307569
0.8519,-14917.02061,6714670.834574268
0.4497,-14916.96258,6714670.804688568
-0.1901,-14916.95465,6714670.805903069
-0.0498,-14917.01657,6714670.819915868
0.985,-14916.8878,6714670.8158279685
0.9721,-14916.90765,6714670.826330368
0.9941,-14916.93283,6714670.785349868
0.9905,-14916.93787,6714670.811742469
0.9679,-14916.99756,6714670.829118968
0.9793,-14916.89396,6714670.824088369
0.9849,-14916.95817,6714670.805463469
0.9903,-14916.98133,6714670.823055669
0.1272,-14916.9153,6714670.796725168
0.9908,-14916.93507,6714670.781847368
0.9858,-14916.92894,6714670.818908668
0.9918,-14916.92868,6714670.838152468
0.9796,-14916.87725,6714670.831634068
0.902,-14916.9187,6714670.799130268
0.9944,-14916.8826,6714670.827595868
0.9932,-14916.94396,6714670.793035069
0.9577,-14916.94932,6714670.792385168
0.6956,-14916.87444,6714670.784390968
-0.7729,-14916.93564,6714670.814973368
0.8519,-14916.91001,6714670.810967368
0.9468,-14916.93628,6714670.817556868
0.5838,-14916.94481,6714670.828805269
0.9974,-14917.01421,6714670.776122568
0.7096,-14916.89965,6714670.801359968
0.9616,-14916.95975,6714670.7938961685
0.7448,-14916.96294,6714670.778925468
0.9153,-14916.95375,6714670.816207768
0.9656,-14916.90931,6714670.820885069
0.9781,-14916.97846,6714670.789756768
0.9903,-14917.01316,6714670.816961869
