query,title,type,rating_place,reviews,address,open_state,place_id,lat_place,lng_place,category_place,place_title,lat_review,lng_review,rating_review,date,review_title,review_text,user_name,local_guide,likes,images,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,final_label,sent_neg,sent_neu,sent_pos,sent_compound,sent_label
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,4.0,Edited 9 months ago,,"Absolutely wonderful local shop! It's got a phenomenal variety of products to choose from!! From baby products to birthday cards, fresh vegetables to flowers and anything in-between....the staff are always welcoming and will say hello as you enter and it's just had a full revamp and it looks great! I will say the prices are a tad higher then usual places but the selection on offer makes up for it!",Jason Domican,True,4.0,"['https://lh3.googleusercontent.com/geougc-cs/ABOP9ps5pr6zV4Z21FoX1KtQPlK3weNfcv5FBk9KNxqetU4XXExUGtjFR6Y0GZMivklO2HrTp-xSTuBHkEJysQJbgrrmkalzAcIpXHMHmby4BSDEf6fQgUJop4dErzU9cDtNkGkC2S2csQ', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9puvwxfaYBq_HjOlTcGaFZYnmqElZqW4N6ZUcnNvryK4_fRwxJtFYSfVDvgI0_gQPwxLeo8PPrHzWhpVJ-RC5kGWLpbnD7oJqjJS1bMCGyuaj9nXeiP_K15hln2J81mpXtS0Afjtjg', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9pvZD2asQXbyJuMo3dVKisvjjcM7uTS6rQsydTvUqc9r7vP0nj2gjuQNcCaQtGbhbNpDMYBeWeFspKFT5FG-sYoHlQuihmS0ft_c8JxvS4uwCHkzlV2yGSX6tPcxTJ_0mQoHtX94OA', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9puHt8EyLVQF3QefKUOgFzZiMIzeNlAXx_v3gwFPZzndug3bsuAVmoJmy9bNkiWyseEBM1BJrzOPO5jts9gk6JhvYQnjNolzLeGTfFl9AP39qN7dviXeFrMDqWHyud9aHDxt5Pyu6w', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9pvc7ctfhKuEBNy5wq0aa-VloWI7S2G0gsczAXFzpn4OZcxMUqP26ItneDWa0vVIr_ZSwmm7wmaccIQEjkANC8zfzho9C5Ga8bhAH2agziFcVec0XhQ-u9PRt01Ad6mHENBV1UNe', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9pvgKdKu5H0J3pT67HlClSlGk-LvymFWC9pwCYhKcy81ZG5h-vCnfGXZHCpEAxNP2pF25QYFHcnuBLFPlGsImnYL3KuMUiTKjdXBd6qYvbp-4xnHPdbNJr3Lzai1_OMekJk14raluQ', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9ptAvoG0ug-CQv_zgZEivoTRz-XQI0tZAgIQB7Cr8zfEB44L1RazxGz3j0KRouI5KCW94c11IjGa3vKwbdLVm7pUlmLn3ZSNVtCFNYMC0496Td5MWW6URfryqzfHpTf9aQCcwFqt', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9pttX4gCm6A_6-2dFmKaS-rL6UaXD00-A2a07idEEs1p5YNT_uQQqc_eyprKvgTQKBU4ydAvEEISZpJzU7ulDblSsWh5GNw_wB99j3W2Z2QjSci9oZl3cnA9BRrQlGfS2EgFShr_', 'https://lh3.googleusercontent.com/geougc-cs/ABOP9ptZqhUMxxKmOnKPR6O7i6hMgogGWUTtqvAbDFHWmZQO7ShmeclC7crvDUmQZSniR4tDALdJ7vvLNEyQokYjX3Ox7Vk-R8AnQLLpVaNJhEBKo0TM3AvvtdPZeo1D2SmJZdAPYgzb']",,,,,Resident,0.0,0.871,0.129,0.8323,positive
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,2.0,2 weeks ago,,"States this is a post office shop and they sell packages here. They do nothing of the sort, completely misleading.",Sam Singline,True,0.0,,,,,,Resident,0.136,0.864,0.0,-0.4576,negative
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,1.0,6 months ago,,"Beware, bloke behind the till scammed me last week. Took for 4 items and charged me and then said he hadn’t put one through and charged me again for it.
It wasn’t until it finally came through on my phone a bit later it confirmed what I had suspected.
A lot of tenants in that area, I will be warning all of them.",Sarah Batty,True,0.0,,,,,,Resident,0.118,0.882,0.0,-0.7096,negative
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,5.0,a year ago,,"I had a great experience at this corner shop! It has a good variety of essentials, and the prices are very reasonable. The staff was extremely helpful, taking the time to show me everything I needed. Excellent customer service—thank you! I’ll definitely be coming back when im next in the area!",Rojbin Bingol,True,0.0,,,,,,Resident,0.0,0.726,0.274,0.9543,positive
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,5.0,Edited 6 months ago,,"I live next door to My Shop, unlike supermarkets where there is virtually no communication with customers, here there is, after a while they get to know their customers, and say, how are you. Their stock is considerable, they are open from seven in the morning till eleven p.m. It is a universal shop, regarding the staff, it is a shame that the world cannot be like this.",David Newman,True,0.0,,,,,,Resident,0.102,0.898,0.0,-0.7514,negative
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,5.0,6 months ago,,"I bought a Oreo ice cream sandwich 😋 and it was SO DELICIOUS
recommended",Henry Nikita,True,0.0,,,,,,Resident,0.0,0.6,0.4,0.8847,positive
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,1.0,2 years ago,,"This has got to be one of the worst corner stores I have ever visited. This is right next to a school so I figured out their technique. Since children from the school want snacks and such, they go to the nearest shop… which is this one. But the thing is, everything in this shop is really expensive, so the children spend more than they should in this shop. The staff/person at the till always gives me a moody/rude vibe. He is not that friendly to customers and he looks like he just wants to grab our money and get out of there.",Randomizer,True,2.0,,,,,,Resident,0.055,0.905,0.04,-0.3802,negative
shop,My Shop Local,Supermarket,4.2,57,"134 Greyhound Rd, London, W6 8NS",Open · Closes 11 pm,ChIJn9fKpr0PdkgRZ9nVLHkpQ7M,51.4859743,-0.2131092,shop,My Shop Local,51.4859743,-0.2131092,1.0,3 years ago,,Every single time I go in it feels like they making me such a huge a huge favour. Their customer service is probably the worst I've experienced from a corner shop. I feel intimidated and not welcome. The only reason I have seen myself forced to shop is due to proximity /location but I happily try my best to walk to actual supermarkets just because I can't handle their rudeness and lack of manners. Prices are high and fruits and vegetables are rarely in good conditions but what really bothers me is their customer service and the atmosphere.,alma evemba,True,3.0,,,,,,Resident,0.14,0.692,0.168,0.6626,positive
shop,R S General Store,Convenience Store,1.9,24,"95 Murray Grove, London, N1 7QP",,ChIJ7-AhUqEcdkgRbFOnJfeYXAA,51.5311249,-0.0890455,shop,R S General Store,51.5311249,-0.0890455,5.0,2 months ago,,"I wandered to the Nisa on a quiet corner near Murray grov, following the glowing promise from Google Maps that the shop would be open. My little cat who walks with me and softly stomps like a distant  thunder cloud trotted beside me, her tail a curious antenna tuning into the neighbourhood.

But when we arrived, the shutters were already drawn, and the lights inside were dark,
For a moment it felt as if time had folded strangely, like a tiny cosmic hiccup. I pressed my palm to the cool metal door and listened, hoping for the hum of a fridge or the distant rustle of tayto packets, but everything was still.

My cat looked up at me with that patient feline expression that says, “the universe is unpredictable; this is simply its rhythm.” And I suppose she was right",brshsr at,True,0.0,,,,,,Resident,0.019,0.882,0.099,0.8793,positive
shop,R S General Store,Convenience Store,1.9,24,"95 Murray Grove, London, N1 7QP",,ChIJ7-AhUqEcdkgRbFOnJfeYXAA,51.5311249,-0.0890455,shop,R S General Store,51.5311249,-0.0890455,1.0,Edited 3 years ago,,"This nisa is unhygienic, overpriced and unsafe.

From the out of date food they try and sell as reduced, to the moulding fruits and veg.

The crowded aisles are badly organised with item stacked on tops of each which can easy fall and hurt a customer.

In addition the food is overpriced and the fact that the staff are not helpful and can not be bothered to put labels on items or on the self.

Also the staff are there watching movies or on a call or even eating whilst serving customers.

This shop definitely needs an inspection because the conditions are vulgar and this shop need to be shut down or fined.",A M,True,2.0,,,,,,Resident,0.07,0.843,0.086,0.257,positive
