owner,total_photos,city_photos,city_ratio,day_span,classification
30372879@N00,2,2,1.0,0,TOURIST
31155442@N03,2,2,1.0,0,TOURIST
31166288@N00,14,14,1.0,6798,RESIDENT
32014910@N00,20,20,1.0,633,RESIDENT
32374483@N00,2,2,1.0,0,TOURIST
32602272@N05,3,3,1.0,62,TOURIST
32959905@N08,10,10,1.0,567,RESIDENT
33094037@N00,4,4,1.0,0,TOURIST
33168201@N02,1,1,1.0,0,TOURIST
33352310@N00,38,38,1.0,1,TOURIST
33650137@N05,3,3,1.0,5479,RESIDENT
33733579@N00,12,12,1.0,0,TOURIST
33988281@N00,4,4,1.0,4,TOURIST
34396697@N00,41,41,1.0,2918,RESIDENT
34419196@N07,1,1,1.0,0,TOURIST
34517490@N00,2,2,1.0,0,TOURIST
34572250@N00,5,5,1.0,378,RESIDENT
34884355@N00,8,8,1.0,170,RESIDENT
34992187@N06,6,6,1.0,0,TOURIST
35163274@N05,31,31,1.0,2677,RESIDENT
35234357@N04,4,4,1.0,574,RESIDENT
35806677@N00,11,11,1.0,11,TOURIST
36101699310@N01,1,1,1.0,0,TOURIST
36397281@N00,1,1,1.0,0,TOURIST
36743128@N06,11,11,1.0,0,TOURIST
36766110@N08,36,36,1.0,0,TOURIST
36779313@N03,2,2,1.0,0,TOURIST
36989019@N08,1,1,1.0,0,TOURIST
37008641@N02,1,1,1.0,0,TOURIST
37287420@N08,1,1,1.0,0,TOURIST
37359889@N03,2,2,1.0,405,RESIDENT
37402137@N05,15,15,1.0,40,TOURIST
37486507@N06,4,4,1.0,204,RESIDENT
38298328@N08,144,144,1.0,781,RESIDENT
38709963@N00,3,3,1.0,31,TOURIST
39415781@N06,4,4,1.0,1030,RESIDENT
39731978@N04,1,1,1.0,0,TOURIST
39877441@N05,2,2,1.0,0,TOURIST
40119234@N07,2,2,1.0,0,TOURIST
40139809@N00,3,3,1.0,353,RESIDENT
40385587@N00,1,1,1.0,0,TOURIST
40578127@N00,3,3,1.0,23,TOURIST
40685767@N00,12,12,1.0,37,TOURIST
41087279@N00,2354,2354,1.0,17086,RESIDENT
41274384@N07,16,16,1.0,412,RESIDENT
