NUMPOINTS,X,Y
1282,-15951.00177,7229804.269262568
1862,-15829.18177,7229674.599262568
933,-16227.99177,7229742.929262568
4000,-16542.22177,7229633.259262568
2814,-16985.00177,7229801.459262568
72,-16139.95177,7229563.429262568
79,-16087.21177,7229553.959262568
1049,-17010.65177,7229298.519262568
580,-15857.01177,7229812.269262568
889,-15532.55177,7229992.219262568
3,-16686.07177,7229779.609262568
94,-16894.67177,7229766.639262568
511,-16228.76177,7229753.349262568
2205,-16695.97177,7230175.239262569
113,-15648.30177,7229786.529262569
103,-15543.80177,7229804.959262568
93,-16182.70177,7229708.119262569
685,-15650.87177,7229863.479262568
105,-16967.62177,7229778.519262568
2365,-16138.37177,7229767.349262568
509,-15459.47177,7230019.119262569
2577,-15668.68177,7229761.139262568
2746,-16278.51177,7229712.459262568
4040,-16249.86177,7229886.379262568
883,-15887.65177,7229858.659262569
207,-16795.53177,7229685.679262568
50,-16193.32177,7229838.849262568
77,-16328.90177,7229648.489262569
36,-16362.43177,7230036.909262569
1408,-16054.87177,7229621.459262568
2441,-16096.66177,7230088.119262569
1776,-15817.23177,7229758.909262569
287,-16070.15177,7229577.019262568
60,-16586.12177,7229764.599262568
11064,-16355.33177,7229858.809262568
90,-15976.31177,7229926.229262568
4294,-16224.76177,7229789.849262568
5890,-16268.64177,7229827.429262568
950,-16185.87177,7229721.159262569
735,-16870.43177,7230347.569262568
1643,-16102.59177,7229670.989262569
499,-15479.10177,7229916.609262568
57,-16641.13177,7229593.129262568
237,-15625.34177,7229871.089262568
375,-15387.31177,7230059.269262568
815,-15646.39177,7230261.259262568
4371,-16020.80177,7229663.449262569
2535,-16235.54177,7229750.799262568
406,-15676.20177,7230058.679262568
51,-16648.97177,7229586.689262568
7,-15622.04177,7229873.099262568
1823,-16404.36177,7229760.669262568
626,-16075.95177,7229854.339262568
190,-16214.78177,7229739.839262568
531,-15531.29177,7229992.019262568
365,-15608.28177,7229914.679262568
484,-15610.64177,7229912.939262568
